Date,Description,Theme,Jurisdiction,Area,Note,Label,Latitude,Longitude,Source
08/12/1987,Selective refusal emerges among Israeli reservists during policing and enforcement duties in the First Intifada,Resistance,"West Bank, Gaza (occupied territories)",Occupied Palestinian Territory,Refusals are diffuse; tied to shift from conventional warfare ? civilian population control.,Military Refusal / Occupation Enforcement,31.9522,35.2332,https://www.jstor.org/stable/2538162
25/01/2002,"Publication of the Combatants' Letter, signed by 51 reservists refusing service in the occupied territories",Resistance,"Israel / West Bank, Gaza",Tel Aviv (publication + military centre),One of the first formalised collective refusals with explicit political framing.,Military Refusal / Public Declaration,32.0853,34.7818,https://www.972mag.com/combatants-letter-army-refusal-zionist-left/
24/09/2003,Public refusal by Israeli Air Force pilots declining participation in targeted strike missions in Palestinian territories,Resistance,"Israel / Gaza, West Bank (aerial operations)",Tel Nof Airbase,Represents refusal within elite technological military infrastructure (air power).,Military Refusal / Aerial Warfare,31.8397,34.8215,https://btvshalom.org/archive/more/The_Pilots_Have_Courage_To_Refuse.pdf
14/07/2014,Reports of reservists refusing participation in operations during the 2014 Gaza War,Resistance,Israel / Gaza,Gaza Israel border region,Mid-conflict anchor; refusals linked to operational conduct rather than deployment itself.,Military Refusal / Active Conflict,31.5017,34.4668,https://forward.com/fast-forward/202671/50-israeli-reservists-refuse-to-serve-in-gaza-war/
07/10/2023,"Reports indicate 365+ reservists declined or threatened refusal connected to Gaza operations, reflecting widening internal divisions over wartime policy.",Resistance,Israel / Gaza,Gaza Israel interface (southern front),Represents scale shift in refusal discourse; includes both active refusal and threatened non-compliance.,Military Refusal / Systemic Crisis,31.4,34.35,https://theconversation.com/israels-refuseniks-a-growing-number-of-soldiers-are-refusing-to-serve-in-netanyahus-war-on-gaza-264707
01/06/2024,Peak reporting period of reservist refusals and dissent within Israeli military structures during ongoing Gaza operations,Resistance,Israel,National (distributed across military units),"Use as continuation marker, not standalone event; reflects persistence rather than onset.",Military Refusal / Internal Dissent,31.0461,34.8516,https://www.middleeasteye.net/live-blog/live-blog-update/dozens-israeli-reservists-sign-letter-expressing-refusal-serve-gaza
15/04/1936,"The Great Palestinian Revolt begins under the British Mandate, developing into a mass uprising combining popular mobilisation, strikes, national committees and armed resistance against British colonial rule and Zionist settlement.",Resistance,British Mandate Palestine,Palestine (territory-wide; Nablus used as organising anchor),"PalQuest dates the outbreak phase to mid-April 1936 and the revolt continued through 1939. Arabic: ?????? ?????????? ??????. Coordinate marks Nablus as an early organising centre, not the geographical extent of the revolt.",Great Palestinian Revolt begins,32.2211,35.2544,https://www.palquest.org/ar/highlight/288/%D8%A7%D9%84%D8%AB%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%D8%8C-1936-1939
08/05/1936,"A Palestinian general strike develops into a territory-wide form of civil resistance during the Great Palestinian Revolt, disrupting commercial and economic activity under the British Mandate.",Resistance,British Mandate Palestine,Palestine (territory-wide; Jerusalem used as coordination anchor),Local strike calls and national committees formed in April 1936; PalQuest records the national general strike as beginning in early May. Arabic: ??????? ?????. The strike was coordinated through Palestinian national committees and the Arab Higher Committee.,1936 Palestinian General Strike,31.7683,35.2137,https://www.palquest.org/ar/highlight/288/%D8%A7%D9%84%D8%AB%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D9%83%D8%A8%D8%B1%D9%89%D8%8C-1936-1939
01/09/1957,"The first organisational nucleus of the Palestinian National Liberation Movement (Fatah) is formed by Palestinian activists, developing an independent Palestinian organisation focused on mobilising Palestinians in resistance.",Resistance,Palestinian national movement / diaspora,Kuwait (early organisational nucleus),Month-only date: PalQuest places Fatah's first nucleus in September 1957 and records a further organisational meeting in Kuwait on 10 October 1959. Arabic: ???? ??????? ?????? ????????? (???). 01/09 is used as a month anchor rather than an asserted exact day.,Fatah founded,29.3759,47.9774,https://www.palquest.org/ar/overallchronology?nid=9826
02/06/1964,The first Palestinian National Council announces the establishment of the Palestine Liberation Organization (PLO) and adopts its National Charter and Basic Law.,Resistance,Palestinian national movement,East Jerusalem,The first Palestinian National Council met in Jerusalem from 28 May to 2 June 1964; the PLO was formally proclaimed on 2 June. Arabic: ????? ??????? ??????????.,PLO established,31.7683,35.2137,https://www.palquest.org/ar/overallchronology?nid=285&synopses%5B0%5D=285
01/01/1965,"Fatah issues its first military communiqué after its armed wing al-Asifa carries out its first operation, a symbolic marker for the beginning of Fatah's armed campaign.",Resistance,Palestinian national movement / State of Israel,"Ailabun / National Water Carrier, Galilee",PalQuest records the operation during the night of 31 December 1964 to 1 January 1965 and notes that 1 January became a symbolic date for the launch of the contemporary Palestinian revolution. Arabic: ???? ???????.,Fatah armed campaign begins,32.836,35.4,https://www.palquest.org/ar/overallchronology?nid=9826
11/12/1967,"The Popular Front for the Liberation of Palestine (PFLP) is founded following the June 1967 war and occupation, bringing together Palestinian nationalist organisations under a new front.",Resistance,Palestinian national movement / PLO sphere,"Beirut, Lebanon (formation-process organisational anchor)",Arabic: ?????? ??????? ?????? ??????. The PFLP was publicly announced on 11 December 1967. Beirut is used here as an organisational anchor rather than an asserted exact founding-site coordinate: the PFLP's own historical account documents a Palestinian action leadership conference in Beirut in September 1967 during the formation process.,PFLP founded,33.8938,35.5018,https://www.palquest.org/ar/highlight/23333/%D8%A7%D9%84%D8%AC%D8%A8%D9%87%D8%A9-%D8%A7%D9%84%D8%B4%D8%B9%D8%A8%D9%8A%D8%A9-%D9%84%D8%AA%D8%AD%D8%B1%D9%8A%D8%B1-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86 ; https://pflp.ps/page/1/%D8%A7%D9%84%D9%86%D8%B4%D8%A3%D8%A9-%D9%88%D8%A7%D9%84%D8%AA%D9%83%D9%88%D9%8A%D9%86
22/02/1969,The Democratic Popular Front for the Liberation of Palestine is established after a split from the PFLP; it later becomes known as the Democratic Front for the Liberation of Palestine (DFLP).,Resistance,Palestinian national movement / PLO sphere,"Beirut, Lebanon (organisational/publication anchor)","Arabic: ?????? ??????????? ?????? ??????. PalQuest records the split from the PFLP and independent declaration on 22 February 1969. Beirut is used as an organisational/publication anchor rather than an asserted exact founding-site coordinate: the internal debate leading to the split was carried through al-Hurriyya, a major Beirut-based publication of the Arab Nationalist Movement milieu.",DFLP founded,33.8938,35.5018,https://www.palquest.org/ar/highlight/23612/%D8%A7%D9%84%D8%AC%D8%A8%D9%87%D8%A9-%D8%A7%D9%84%D8%AF%D9%8A%D9%85%D9%82%D8%B1%D8%A7%D8%B7%D9%8A%D8%A9-%D9%84%D8%AA%D8%AD%D8%B1%D9%8A%D8%B1-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86 ; https://dflp.org/en/
15/08/1973,The Palestinian National Front in the Occupied Territories is established as a political framework coordinating Palestinian national action inside the West Bank and Gaza Strip under occupation.,Resistance,West Bank and Gaza Strip (Israeli occupation),Occupied Palestinian territories,Arabic: ?????? ??????? ?????????? ?? ????? ???????. Important as an organisational structure rooted inside the occupied territories rather than solely in exile.,Palestinian National Front established,31.9522,35.2332,https://www.palquest.org/ar/historictext/34007/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A7%D9%84%D8%AC%D8%A8%D9%87%D8%A9-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%A7%D8%B1%D8%B6-%D8%A7%D9%84%D9%85%D8%AD%D8%AA%D9%84%D8%A9
30/03/1976,"Palestinians organise a general strike and mass demonstrations against Israeli land confiscation in the Galilee, creating what becomes known as Land Day.",Resistance,State of Israel / Palestinian citizens of Israel,"Sakhnin, Arraba and Deir Hanna / Galilee","Six Palestinian citizens were killed during the protests. Solidarity strikes and actions also took place in the West Bank, Gaza Strip and Palestinian refugee communities. Arabic: ??? ?????.",Palestinian Land Day,32.8622,35.2933,https://www.palquest.org/ar/highlight/14510/%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D8%A3%D8%B1%D8%B6%D8%8C-30-%D8%A2%D8%B0%D8%A7%D8%B1-%D9%85%D8%A7%D8%B1%D8%B3-1976
01/01/1980,"The organisational nucleus that develops into Palestinian Islamic Jihad (PIJ) begins to form among Palestinian students in Egypt; the movement subsequently builds an organisational presence on the ground, particularly in Gaza.",Resistance,Palestinian national movement / Egypt / Gaza Strip,Gaza Strip (later organisational centre; origins also in Egypt),"Year-only anchor: PalQuest describes the organisational nucleus forming from the beginning of 1980, with organisers building the movement in Palestine, especially Gaza, from 1981. Arabic: ???? ?????? ???????? ?? ??????. 01/01 is a year anchor, not an asserted exact founding day.",Palestinian Islamic Jihad emerges,31.5017,34.4668,https://www.palquest.org/ar/biography/14248/%D9%81%D8%AA%D8%AD%D9%8A-%D8%A7%D9%84%D8%B4%D9%82%D8%A7%D9%82%D9%8A
03/04/2002,Palestinian armed resistance in Jenin refugee camp confronts the Israeli military incursion during Operation Defensive Shield.,Resistance,West Bank (Israeli occupation),Jenin refugee camp,PalQuest records the Jenin camp invasion and battle from 3 to 19 April 2002. This complements the existing CSV row describing Operation Defensive Shield from the Israeli military side.,Jenin camp resistance,32.4605,35.2882,https://www.palquest.org/ar/overallchronology-grid?nid=33674&synopses=
20/02/2005,"Residents of Bil'in begin sustained popular resistance against construction of the separation wall across village lands, with Palestinian-led demonstrations later joined by Israeli and international solidarity activists.",Resistance,West Bank (Israeli occupation),"Bil'in, Ramallah and al-Bireh Governorate",Arabic discourse commonly places Bil'in within ???????? ??????? (popular resistance). The first protest associated with the start of wall construction is documented on 20 February 2005; demonstrations developed into a long-running weekly movement.,Bil'in popular resistance,31.9286,35.072,https://www.palestine-studies.org/ar/node/1652312 ; https://qantara.de/ar/article/%D8%A7%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%85%D8%A9-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%B3%D9%84%D9%85%D9%8A%D8%A9-%D9%85%D9%82%D8%A7%D9%88%D9%85%D8%A9-%D8%AE%D9%84%D8%A7%D9%82%D8%A9-%D8%B6%D8%AF-%D8%A7%D9%84%D8%AC%D8%AF%D8%B1%D8%A7%D9%86-%D9%88%D8%A7%D9%84%D8%A3%D8%B3%D9%84%D8%A7%D9%83-%D8%A7%D9%84%D8%B4%D8%A7%D8%A6%D9%83%D8%A9-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9
17/04/2017,"Around 1,500 Palestinian prisoners held by Israel launch the mass Freedom and Dignity hunger strike over detention conditions and prisoners' rights.",Resistance,Israeli prison system / occupied Palestinian territory,Israeli prisons holding Palestinian prisoners,A major example of Palestinian prisoner resistance. The strike began on Palestinian Prisoners' Day and ended on 27 May 2017 after 41 days. Arabic: ????? ?????? ????????.,Freedom and Dignity hunger strike,31.7683,35.2137,https://www.un.org/unispal/wp-content/uploads/2017/10/A7235.pdf
05/05/2021,Residents of Beita and neighbouring Palestinian villages begin sustained popular resistance against the Evyatar settlement outpost established on Jabal Sabih south of Nablus.,Resistance,West Bank (Israeli occupation),"Beita / Jabal Sabih, Nablus Governorate","OHCHR documentation records protests from 5 May 2021. Palestinian sources describe daily and weekly demonstrations, community organising and other popular-resistance practices. Arabic: ???????? ??????? ?? ???? / ??? ????.",Beita / Jabal Sabih resistance,32.1423,35.2857,https://www.palestine-studies.org/ar/node/1652686 ; https://spcommreports.ohchr.org/TMResultsBase/DownLoadPublicCommunicationFile?gId=27058
18/05/2021,"A Palestinian general strike is held across multiple fragmented Palestinian geographies during the Unity Intifada, linking mobilisation in the West Bank, East Jerusalem and Palestinian communities inside Israel.",Resistance,Palestine / Palestinian citizens of Israel,West Bank / East Jerusalem / Palestinian communities inside Israel,PalQuest categorises this as popular action and names it ??????? ????? ???????? ?????? (General Strike of the Unity Intifada). Jerusalem is used only as a geographic anchor because the action was deliberately cross-territorial.,Unity Intifada General Strike,31.7683,35.2137,https://www.palquest.org/ar/overallchronology?nid=31098
02/09/2022,The Lions' Den group emerges in Nablus as a locally organised Palestinian armed formation during a wider resurgence of armed resistance in the northern West Bank.,Resistance,West Bank (Israeli occupation),Nablus Old City / Nablus Governorate,PalQuest dates the emergence of the group and the associated period of Israeli collective restrictions on Nablus from 2 September to 3 November 2022. Arabic: ???? ??????.,Lions' Den emerges,32.2211,35.2544,https://www.palquest.org/ar/overallchronology-grid?nid=33674&synopses=
06/01/2026,"Israel's Communications Ministry approves an upgrade to 4G mobile services for Palestinian operators in the West Bank, allowing Jawwal and Ooredoo to begin preparations for deployment.",Infrastructure & Technology,West Bank / Israeli telecommunications regulation,West Bank (Ramallah used as Palestinian telecommunications anchor),"This is an approval and rollout-preparation milestone, not a confirmed commercial 4G launch. Palestinian mobile networks in the West Bank had operated on 3G since 2018, while Gaza remained on 2G. Ramallah is used as a geographic anchor because the approval applies across the West Bank rather than to a single mast or city.",Palestinian 4G upgrade approved,31.9031,35.1952,https://www.reuters.com/world/middle-east/israel-approves-upgrade-4g-mobile-services-palestinians-west-bank-2026-01-06/
15/01/2026,UNOPS identifies restoration of the Gaza Power Plant and associated electricity infrastructure as an urgent recovery priority during a visit to the facility.,Energy,Gaza Strip,Gaza Power Plant / Nuseirat,"UNOPS reported that Gaza's main and only power generation plant had remained out of service since October 2023 and that immediate repair of the plant, fuel tanks and electricity grid was an urgent priority. Coordinates correspond to the Gaza Power Plant.",Gaza Power Plant restoration priority,31.455398,34.399538,https://www.un.org/unispal/document/gaza-restoring-power-is-an-urgent-priority-unops-press-conference/
16/01/2026,"Chevron and its partners take a final investment decision to expand the Leviathan offshore natural gas field, increasing planned production capacity.",Energy,State of Israel (offshore gas field),Leviathan gas field / Eastern Mediterranean,The expansion is planned to increase Leviathan production to approximately 21 billion cubic metres per year. Coordinates use the field-level location reported by Global Energy Monitor rather than a coastal institutional anchor.,Leviathan expansion approved,33.0014,33.649,https://www.reuters.com/business/energy/chevron-takes-final-investment-decision-leviathan-gas-expansion-2026-01-16/ ; https://www.gem.wiki/Leviathan_Gas_Field_%28Israel%29
12/03/2026,"Israeli authorities shift Gaza's access-restricted Orange Line farther into the Strip, extending restrictions across an additional 5.5 square kilometres.",Military,Gaza Strip (Israeli military access restrictions),Gaza Strip / Orange Line,"OCHA reports that the Orange Line, introduced after the October 2025 ceasefire, was shifted on 12 March 2026 to extend access restrictions by a further 5.5 square kilometres. The coordinate is a Gaza Strip geographic anchor because the line is a distributed military boundary rather than a point feature.",Orange Line expanded,31.5017,34.4668,https://www.un.org/unispal/document/ocha-humanitarian-situation-report-26-june-2026/
25/03/2026,"An airstrike damages the electricity supply line serving the Southern Gaza Seawater Desalination Plant, forcing the plant onto backup generators and sharply reducing drinking-water production.",Energy,Gaza Strip,Southern Gaza Seawater Desalination Plant / Khan Younis,"Damage to the electricity line reduced the plant's output by about 80 per cent and affected drinking-water availability for an estimated 500,000 people in Deir al-Balah and Al Mawasi. Full operations resumed after repairs completed on 4 April. Coordinates correspond to the Southern Gaza desalination-plant point in OCHA's Gaza water-infrastructure dataset.",Desalination electricity line damaged,31.52782347,34.48941378,https://www.un.org/unispal/document/ocha-humanitarian-situation-report-10-april-2026/ ; https://www.unicef.org/sop/ar/%D8%A7%D9%84%D9%8A%D9%88%D9%86%D9%8A%D8%B3%D9%81-%D8%AA%D8%B9%D9%8A%D8%AF-%D8%A5%D9%8A%D8%B5%D8%A7%D9%84-%D8%A7%D9%84%D9%85%D9%8A%D8%A7%D9%87-%D8%A7%D9%84%D8%A2%D9%85%D9%86%D8%A9-%D9%84%D8%B9%D8%B4%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%A2%D9%84%D8%A7%D9%81-%D9%85%D9%86-%D8%A7%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84-%D9%81%D9%8A-%D9%82%D8%B7%D8%A7%D8%B9-%D8%BA%D8%B2%D8%A9/%D9%82%D8%B5%D8%B5
20/04/2026,"The United Nations, World Bank and European Union publish the final Gaza Rapid Damage and Needs Assessment, documenting near-total destruction and severe losses across Gaza's information and communications technology sector.",Infrastructure & Technology,Gaza Strip,Gaza Strip (territory-wide ICT infrastructure),"The assessment estimates US$200.7 million in direct ICT damage, US$346 million in losses and US$500.5 million in recovery and reconstruction needs. It records 81 per cent of ICT assets as destroyed, 12 per cent partially damaged and 7 per cent minimally damaged. The coordinate is a Gaza Strip anchor because the assessment covers a distributed network of towers, exchanges, fibre, data centres and access infrastructure.",Gaza ICT damage assessment,31.5017,34.4668,https://unsco.unmissions.org/sites/default/files/2026-04/full_report-_gaza_strip_rapid_damage_and_needs_assessment_rdna_2026_1.pdf ; https://www.un.org/unispal/document/sg-report-24jun26/
12/05/2026,"The Knesset approves in first reading a bill to establish a civilian Judea and Samaria Heritage Authority under Israel's Ministry of Heritage for antiquities, archaeology and heritage sites in the occupied West Bank.",Heritage & Archaeology,State of Israel / occupied West Bank,"Knesset, Jerusalem / West Bank heritage sites",The proposal passed its first reading by 23 votes to 14. It would establish direct Israeli statutory responsibility for archaeology and heritage administration in the West Bank. The coordinate marks the legislative institution in Jerusalem; the proposed authority's territorial effects are distributed across the West Bank.,West Bank Heritage Authority bill,31.7683,35.2137,https://main.knesset.gov.il/EN/News/PressReleases/Pages/press12526q.aspx
25/05/2026,"The Israeli Civil Administration issues an expropriation order covering the Herodium archaeological site and adjacent farmland, spring areas and access routes east of Bethlehem.",Heritage & Archaeology,West Bank (Area C / Israeli Civil Administration),"Herodium / Jabal al-Fureidis, Bethlehem Governorate",The UN Secretary-General records the order as issued on 25 May 2026. Peace Now reported the order on 2 June and gives its area as approximately 300 dunams. Coordinates correspond to the archaeological site at Herodium.,Herodium expropriation order,31.66583,35.24139,https://www.un.org/unispal/document/sg-report-24jun26/ ; https://peacenow.org.il/en/300-dunams-at-the-herodium
04/06/2026,"The Palestinian Environment Quality Authority and Palestinian Central Bureau of Statistics publish an updated assessment of environmental damage in Gaza, documenting carbon emissions, sewage-system destruction, solid waste accumulation and rubble.",Conservation & Environment,State of Palestine / Gaza Strip,Gaza Strip,"Arabic Palestinian source. The assessment reports about 33.2 million tonnes CO2e associated with the war and reconstruction cycle, damage to more than 90 per cent of sewage infrastructure, approximately 710,000 tonnes of domestic waste and more than 60 million tonnes of rubble. The coordinate is a Gaza Strip anchor because the assessment is territory-wide.",Gaza environmental damage assessment,31.5017,34.4668,https://environment.ps/eqa-63/
23/06/2026,"Israeli authorities shift Gaza's Orange Line again, expanding the access-restricted area and bringing approximately 64.9 per cent of the Gaza Strip under tighter and more direct Israeli control.",Military,Gaza Strip (Israeli military access restrictions),Gaza Strip / Orange Line,OCHA reports a further shift on 23 June 2026 following the earlier 12 March expansion. The resulting Orange Line encompassed 64.9 per cent of Gaza. The coordinate is a Gaza Strip geographic anchor because the line is a distributed military boundary.,Orange Line expanded again,31.5017,34.4668,https://www.un.org/unispal/document/ocha-humanitarian-situation-report-26-june-2026/
24/07/2026,The UNESCO World Heritage Committee inscribes Sebastia in the State of Palestine on the World Heritage List through the emergency procedure and simultaneously places it on the List of World Heritage in Danger.,Heritage & Archaeology,State of Palestine / UNESCO,"Sebastia, Nablus Governorate",The Committee vote took place on 24 July 2026; UNESCO published its wider announcement on 26 July. Sebastia was inscribed under criterion (iii) using the emergency procedure. Coordinates use UNESCO's geographical data for the inscribed property.,Sebastia UNESCO inscription,32.2763389,35.188875,https://www.unesco.org/en/articles/facing-major-threats-six-new-sites-join-unescos-list-world-heritage-danger-three-them-emergency ; https://whc.unesco.org/en/list/1809/maps/
14/08/2026,Reuters documents the diversion of water from a Palestinian freshwater spring in Fasayil to a settler-operated pool and tourism site in the Jordan Valley.,Conservation & Environment,West Bank (Israeli occupation),"Fasayil, Jericho Governorate / Jordan Valley",Included as a structural water and territorial-control event rather than as a general settler-violence incident. Reuters reports that the diversion deprived Palestinian farmers of water used for irrigation and situates it within a wider pattern of water-source takeovers. Coordinates mark Fasayil village because the precise spring coordinate is not published in the source.,Fasayil spring diversion,32.02597,35.44474,https://www.reuters.com/world/middle-east/palestinian-freshwater-springs-being-seized-by-israeli-settlers-2026-08-14/
01/09/1967,"Kfar Etzion is established south of Jerusalem, becoming the first Israeli settlement established in the West Bank after the June 1967 war.",Governance & Territory,West Bank (Israeli military administration),Kfar Etzion / Gush Etzion,Month-only anchor: B'Tselem and UN historical chronologies place the establishment of Kfar Etzion in September 1967. 01/09 is used as a month anchor rather than an asserted exact day.,First post-1967 West Bank settlement,31.65,35.116667,https://conquer-and-divide.btselem.org/map-en.html ; https://conquer-and-divide.btselem.org/map-ar.html
01/04/1968,"A group of Israeli settlers rents the Park Hotel in Hebron for Passover and refuses to leave, initiating a permanent settler presence that is subsequently supported by the Israeli government and connected to the establishment of Kiryat Arba.",Governance & Territory,West Bank (Israeli military administration),Hebron / Al-Khalil,"Month-only anchor: the Park Hotel action took place around Passover in April 1968. The coordinate marks central Hebron, not the precise former hotel footprint.",Hebron settler presence begins,31.5326,35.0998,https://www.ochaopt.org/sites/default/files/h2_spotlight_april_2019.pdf ; https://www.btselem.org/hebron/ghost_town
01/01/1970,"Israel enacts the Legal and Administrative Matters Law, creating a mechanism through which Jewish owners or successor bodies can pursue claims to certain property in East Jerusalem held before 1948; the law later becomes a central legal mechanism in settler-led eviction cases.",Governance & Territory,East Jerusalem (Israeli administration),East Jerusalem,"Year-only anchor: exact enactment day is not asserted here. B'Tselem and OCHA document the law's later use in property takeover and eviction proceedings, including in Silwan.",East Jerusalem property-claim law,31.7683,35.2137,https://www.ochaopt.org/content/imminent-eviction-palestinian-family-east-jerusalem ; https://www.btselem.org/jerusalem/202603_judaizing_jerusalem_11_palestinian_families_to_be_evicted_this_month_from_baten_al_hawa_in_silwan
08/12/1975,"After repeated Gush Emunim attempts to establish a settlement at the Sebastia railway station, the Israeli government reaches a compromise allowing settlers to remain temporarily at the nearby Kadum military camp; the settlement later develops into Kedumim.",Governance & Territory,West Bank (Israeli military administration),Sebastia railway station / Kadum area,The coordinate uses the Sebastia-area anchor already used in the master timeline. This event is included because it marks a major shift toward organised ideological settlement in the northern West Bank.,Sebastia compromise / Kedumim,32.28333333,35.18333333,https://peacenow.org.il/en/renovation-of-the-masoudiasebastiya-train-station-as-a-touristic-settlement-in-the-north-of-the-west-bank ; https://www.gettyimages.co.uk/detail/news-photo/right-wing-israeli-rabbi-moshe-levinger-waves-an-israeli-news-photo/52985783
25/03/1979,"Israeli Military Order 783 establishes a regional-council framework for Israeli settlements in the West Bank, defining settlement council areas through maps whose boundaries can be altered by the military commander.",Governance & Territory,West Bank (Israeli military administration),West Bank (settlement regional councils),Territory-wide administrative event. The coordinate is a West Bank geographic anchor rather than the location of a single council.,Settlement regional councils established,31.9522,35.2332,https://www.un.org/unispal/document/auto-insert-180328/ ; https://www.un.org/unispal/document/auto-insert-194986/
22/10/1979,"Israel's High Court rules against the seizure of privately owned Palestinian land for the Elon Moreh settlement on the stated basis of military necessity, ordering the settlement removed from the requisitioned site.",Governance & Territory,West Bank (Israeli military administration),"Rujeib / Elon Moreh, Nablus Governorate",The ruling became a legal turning point. B'Tselem documents that settlement policy subsequently shifted toward extensive use of land declared 'state land' rather than routine military requisition of private land for settlement construction.,Elon Moreh ruling / state-land shift,32.23571,35.33163,https://www.btselem.org/settlements/seizure_of_land_for_military_purposes ; https://www.un.org/unispal/document/auto-insert-180328/
01/08/1995,The first major Oslo-era settlement bypass road around Jericho is inaugurated as Israel develops a wider road network allowing settlement traffic to bypass Palestinian population centres and connect settlements to each other and to Israel.,Infrastructure & Technology,West Bank (Israeli military administration / Oslo interim period),Jericho / West Bank bypass-road network,"The coordinate marks Jericho as the first-road anchor, while the programme was West Bank-wide. UN reporting recorded 11 bypass roads planned in 1995; B'Tselem documents military requisitions for 17 roads between August 1994 and September 1996.",Settlement bypass-road network,31.87130556,35.44405556,https://www.un.org/unispal/document/auto-insert-179406/ ; https://www.btselem.org/settlements/seizure_of_land_for_military_purposes
02/08/1996,"The Israeli Cabinet lifts restrictions on settlement construction and establishes a new approval framework; the period also marks the beginning of the settlement-outpost system, in which outposts lacking full formal approval receive varying forms of state support and protection.",Governance & Territory,Government of Israel / West Bank settlements,West Bank (distributed settlement and outpost network),"B'Tselem dates the beginning of the outpost mechanism to 1996 and documents support from government ministries, the army and the Civil Administration. The coordinate is a West Bank anchor because the policy affected distributed sites.",Settlement outpost system begins,31.9522,35.2332,https://www.btselem.org/download/201007_by_hook_and_by_crook_eng.pdf ; https://www.un.org/unispal/document/auto-insert-200398/
17/01/1997,"The Protocol Concerning the Redeployment in Hebron divides the city into H1 and H2. The Palestinian Authority assumes responsibility in H1, while Israel retains responsibility for internal security and public order in H2 and for the security of Israelis there.",Governance & Territory,Israel / Palestinian Authority,Hebron / Al-Khalil (H1 and H2),Included because H2 institutionalised a distinctive territorial arrangement around Israeli settlement enclaves within the Palestinian city. Coordinate marks central Hebron.,Hebron H1 / H2 division,31.5326,35.0998,https://www.un.org/unispal/document/auto-insert-196311/
06/02/2017,"The Knesset enacts the Regularization Law, designed to allow retroactive regularization of certain Israeli settlement construction on privately owned Palestinian land under specified conditions.",Governance & Territory,State of Israel / West Bank settlements,"Knesset, Jerusalem / West Bank effects",The coordinate marks the legislative institution in Jerusalem rather than the distributed West Bank parcels affected by the law.,Regularization Law enacted,31.7683,35.2137,https://www.ochaopt.org/content/restricted-access-farming-land-taken-over-settlers-despite-legal-rulings-israeli-courts ; https://www.adalah.org/en/content/view/10024
09/06/2020,"Israel's Supreme Court strikes down the 2017 Regularization Law, finding that its mechanism for retroactively regularizing settlement construction on privately owned Palestinian land was unconstitutional.",Governance & Territory,State of Israel / West Bank settlements,Jerusalem (Supreme Court),Included as an important counter-movement within the legal history of settlement expansion rather than treating settlement policy as a one-directional chronology.,Regularization Law struck down,31.7683,35.2137,https://www.adalah.org/en/content/view/10035
22/03/2023,"The Knesset repeals the sections of the 2005 Disengagement Law that prohibited Israelis from entering the sites of four evacuated settlements in the northern West Bank, enabling renewed Israeli presence in these areas.",Governance & Territory,State of Israel / northern West Bank,"Knesset, Jerusalem / Homesh, Sa-Nur, Ganim and Kadim",The coordinate marks the legislative decision in Jerusalem. The territorial effects concern four settlement sites evacuated in 2005; the existing Gaza disengagement row in the master timeline is therefore not duplicated.,Northern West Bank disengagement repeal,31.7683,35.2137,https://peacenow.org.il/en/knesset-passes-amendment-repealing-disengagement-law-for-northern-west-bank-in-final-vote
18/06/2023,"The Israeli government changes the settlement-planning approval process, removing the requirement for political approval at each planning stage and delegating substantial settlement-planning authority to the Additional Minister in the Ministry of Defense.",Governance & Territory,Government of Israel / West Bank (Area C),Jerusalem (government decision) / West Bank settlement planning,Institutional coordinate: Jerusalem. The decision made settlement planning more regularised and less dependent on repeated Cabinet or ministerial approvals.,Settlement planning authority restructured,31.7683,35.2137,https://peacenow.org.il/en/the-annexation-agenda-of-the-israeli-government
